anon_polygon_id,date,seed,pred_route_source,pred_fallback_source,peer_used,route_radius_idx,route_peer_n,route_peer_purity,near_dist_rebuilt,post_max,post_entropy
AOI-0001,2010-05-25,0,2,2,True,4,4.000000000,1.000000000,9.000000000,0.990867580,0.058305859
AOI-0001,2010-07-13,0,1,1,True,4,3.000000000,1.000000000,12.000000000,0.981308411,0.105858397
AOI-0001,2010-07-29,0,1,1,True,4,2.000000000,1.000000000,9.000000000,0.981308411,0.105858397
AOI-0001,2010-08-30,0,1,1,True,4,4.000000000,1.000000000,9.000000000,0.983193277,0.096986095
AOI-0001,2011-04-02,0,1,1,True,4,1.000000000,1.000000000,16.000000000,0.978021978,0.120874486
AOI-0001,2011-04-26,0,1,1,True,4,1.000000000,1.000000000,16.000000000,0.978021978,0.120874486
AOI-0001,2011-08-08,0,1,1,True,4,2.000000000,1.000000000,12.000000000,0.977011494,0.125386776
AOI-0001,2011-08-29,0,2,2,True,4,2.000000000,1.000000000,13.000000000,0.990338164,0.061138862
AOI-0001,2011-09-25,0,1,1,True,4,3.000000000,1.000000000,12.000000000,0.980582524,0.109222462
AOI-0001,2012-06-25,0,2,2,True,4,2.000000000,1.000000000,12.000000000,0.748743719,0.588344050
AOI-0001,2012-07-25,0,1,1,True,4,3.000000000,1.000000000,12.000000000,0.980582524,0.109222462
AOI-0001,2012-10-13,0,1,1,True,4,3.000000000,1.000000000,12.000000000,0.978947368,0.116700546
AOI-0001,2013-04-07,0,2,2,True,4,4.000000000,1.000000000,9.000000000,0.932367150,0.264875566
AOI-0001,2013-08-06,0,1,1,True,4,3.000000000,1.000000000,9.000000000,0.982608696,0.099759750
AOI-0001,2013-08-21,0,1,1,True,4,2.000000000,1.000000000,12.000000000,0.978021978,0.120874486
AOI-0001,2014-04-07,0,2,2,True,4,2.000000000,1.000000000,12.000000000,0.990521327,0.060162121
AOI-0001,2014-07-07,0,1,1,False,-1,0.000000000,0.000000000,inf,0.948717949,0.237819011
AOI-0001,2014-08-16,0,1,1,True,4,3.000000000,1.000000000,12.000000000,0.979797980,0.112827275
AOI-0001,2014-08-24,0,1,1,True,4,3.000000000,1.000000000,12.000000000,0.979797980,0.112827275
AOI-0001,2015-04-07,0,2,2,True,4,3.000000000,1.000000000,12.000000000,0.990867580,0.058305859
AOI-0001,2015-04-23,0,2,2,True,4,2.000000000,1.000000000,9.000000000,0.693023256,0.640762809
AOI-0001,2015-07-12,0,2,2,True,4,2.000000000,1.000000000,9.000000000,0.773399015,0.558869016
AOI-0001,2015-09-04,0,1,1,True,4,2.000000000,1.000000000,12.000000000,0.977011494,0.125386776
AOI-0001,2016-04-06,0,2,2,True,4,2.000000000,1.000000000,9.000000000,0.871921182,0.403598106
AOI-0001,2016-04-23,0,1,1,True,4,3.000000000,1.000000000,12.000000000,0.979797980,0.112827275
AOI-0001,2016-06-09,0,2,2,True,4,4.000000000,1.000000000,9.000000000,0.989949749,0.063198621
AOI-0001,2016-10-17,0,1,1,True,4,3.000000000,1.000000000,9.000000000,0.979797980,0.112827275
AOI-0001,2017-05-09,0,2,2,True,4,3.000000000,1.000000000,9.000000000,0.990867580,0.058305859
AOI-0001,2017-06-13,0,1,1,False,-1,0.000000000,0.000000000,inf,0.953488372,0.220352331
AOI-0001,2017-06-30,0,0,0,True,4,3.000000000,1.000000000,9.000000000,0.763779528,0.581206425
AOI-0001,2017-08-01,0,0,0,True,4,2.000000000,1.000000000,12.000000000,0.945945946,0.234638072
AOI-0001,2017-08-24,0,1,1,True,4,1.000000000,1.000000000,16.000000000,0.978021978,0.120874486
AOI-0001,2017-10-04,0,1,1,True,4,4.000000000,1.000000000,9.000000000,0.983739837,0.094374144
AOI-0001,2017-10-19,0,1,1,True,4,2.000000000,1.000000000,12.000000000,0.978947368,0.116700546
AOI-0001,2018-04-29,0,1,1,True,4,3.000000000,1.000000000,12.000000000,0.978021978,0.120874486
AOI-0001,2018-06-16,0,1,1,True,4,1.000000000,1.000000000,13.000000000,0.975903614,0.130281794
AOI-0001,2018-08-13,0,2,2,True,4,3.000000000,1.000000000,9.000000000,0.990521327,0.060162121
AOI-0001,2018-08-19,0,1,1,True,4,3.000000000,1.000000000,12.000000000,0.978021978,0.120874486
AOI-0001,2018-08-20,0,1,1,True,4,4.000000000,1.000000000,9.000000000,0.983739837,0.094374144
