radius,method,policy,held,kind,chosen,train_rmse,test_rmse
1,mean,dist502,0,route_plus_direct,route_plus_direct_0.005,0.06554196967414043,0.0704025022442775
1,mean,dist502,0,bucket,bucket_0.005_0.005,0.06554196967414043,0.0704025022442775
1,mean,dist502,1,route_plus_direct,route_plus_direct_0.01,0.06800186049218612,0.0630488139693611
1,mean,dist502,1,bucket,bucket_0.005_0.01,0.06800165710681567,0.0630275747552857
1,mean,dist502,2,route_plus_direct,route_plus_direct_0.005,0.06732108171498992,0.0651719077419426
1,mean,dist502,2,bucket,bucket_0.005_0.01,0.06731900199268102,0.0651890113399502
1,mean,dist502,70404,route_plus_direct,route_plus_direct_0,0.06626636118692289,0.068356129976857
1,mean,dist502,70404,bucket,bucket_0.005_0,0.06626358201853952,0.0683500044438664
1,mean,dist503,0,route_plus_direct,route_plus_direct_0.005,0.06554659135276808,0.0704047072876858
1,mean,dist503,0,bucket,bucket_0.005_0.005,0.06554659135276808,0.0704047072876858
1,mean,dist503,1,route_plus_direct,route_plus_direct_0.01,0.06800520473123073,0.0630544908988047
1,mean,dist503,1,bucket,bucket_0.005_0.01,0.06800500135586202,0.0630332535975851
1,mean,dist503,2,route_plus_direct,route_plus_direct_0.005,0.06732265086826142,0.0651833702900945
1,mean,dist503,2,bucket,bucket_0.005_0.01,0.06732045618762744,0.0652004618342467
1,mean,dist503,70404,route_plus_direct,route_plus_direct_0,0.06627279889139713,0.0683533232693059
1,mean,dist503,70404,bucket,bucket_0.005_0,0.06627001999299202,0.0683471974847676
1,mean,override5525,0,route_plus_direct,route_plus_direct_0.005,0.06553539846993774,0.0703842234853652
1,mean,override5525,0,bucket,bucket_0.005_0.005,0.06553539846993774,0.0703842234853652
1,mean,override5525,1,route_plus_direct,route_plus_direct_0.005,0.06797535507222673,0.0630607451739391
1,mean,override5525,1,bucket,bucket_0.005_0.01,0.06797498390268285,0.0630725037993449
1,mean,override5525,2,route_plus_direct,route_plus_direct_0.005,0.0673104494915155,0.0651652855531901
1,mean,override5525,2,bucket,bucket_0_0.01,0.06730760896531135,0.0651951647951737
1,mean,override5525,70404,route_plus_direct,route_plus_direct_0,0.06627149016361378,0.0683000421340525
1,mean,override5525,70404,bucket,bucket_0.005_0,0.06626930634211779,0.0682960317332681
