anon_polygon_id,date,crop_type,near_dist,route_source_index,alpha,route_used_peer,route_peer_purity
AOI-0001,2010-08-29,озимая пшеница,9.000000000,1,0.300000000,False,0.000000000
AOI-0001,2010-10-25,озимая пшеница,9.000000000,1,0.300000000,False,0.000000000
AOI-0001,2011-06-13,озимая пшеница,12.000000000,1,0.300000000,False,0.000000000
AOI-0001,2011-09-18,озимая пшеница,9.000000000,1,0.300000000,False,0.000000000
AOI-0001,2011-09-26,озимая пшеница,12.000000000,1,0.300000000,False,0.000000000
AOI-0001,2011-09-30,озимая пшеница,9.000000000,2,0.300000000,False,0.000000000
AOI-0001,2012-05-24,озимая пшеница,9.000000000,2,0.300000000,False,0.000000000
AOI-0001,2012-07-09,озимая пшеница,12.000000000,1,0.300000000,False,0.000000000
AOI-0001,2012-07-11,озимая пшеница,9.000000000,2,0.300000000,False,0.000000000
AOI-0001,2012-08-10,озимая пшеница,27.000000000,1,0.300000000,False,0.000000000
AOI-0001,2012-08-12,озимая пшеница,9.000000000,2,0.300000000,False,0.000000000
AOI-0001,2012-10-15,озимая пшеница,9.000000000,2,0.300000000,False,0.000000000
AOI-0001,2013-05-01,озимая пшеница,12.000000000,1,0.300000000,False,0.000000000
AOI-0001,2013-07-12,озимая пшеница,13.000000000,1,0.300000000,False,0.000000000
AOI-0001,2013-09-30,озимая пшеница,9.000000000,2,0.300000000,False,0.000000000
AOI-0001,2014-04-18,озимая пшеница,12.000000000,1,0.300000000,False,0.000000000
AOI-0001,2014-05-25,озимая пшеница,9.000000000,2,0.300000000,False,0.000000000
AOI-0001,2014-06-26,озимая пшеница,9.000000000,2,0.300000000,False,0.000000000
AOI-0001,2014-07-15,озимая пшеница,inf,1,0.300000000,False,0.000000000
AOI-0001,2014-07-28,озимая пшеница,9.000000000,2,0.300000000,False,0.000000000
AOI-0001,2014-08-09,озимая пшеница,9.000000000,1,0.300000000,False,0.000000000
AOI-0001,2014-08-13,озимая пшеница,9.000000000,2,0.300000000,False,0.000000000
AOI-0001,2014-10-03,озимая пшеница,13.000000000,1,0.300000000,False,0.000000000
AOI-0001,2014-10-16,озимая пшеница,9.000000000,2,0.300000000,False,0.000000000
AOI-0001,2015-04-13,озимая пшеница,inf,1,0.300000000,False,0.000000000
AOI-0001,2015-08-11,озимая пшеница,12.000000000,1,0.300000000,False,0.000000000
AOI-0001,2015-08-12,озимая пшеница,9.000000000,1,0.300000000,False,0.000000000
