anon_polygon_id,date,_qi,truth,year,cohort,linear,nearest,mean4,median4,robust_linear,poly3,sourcecal_linear,sourcecal_robust,local_med,winsor_linear
AOI-0001,2010-04-24,23,0.8261870272789141,2010,new,0.7187497190178225,0.7044384976743348,0.752686364034979,0.753731914211653,0.7171319550265011,0.7431735209223386,0.6879050162845757,0.6823444665006568,0.7059898142056189,0.7187497190178225
AOI-0001,2010-06-02,62,0.7825531280629143,2010,new,0.7127850651849422,0.8427347485303727,0.6327234702371879,0.6991461984746066,0.6059909992600861,0.6970668455574671,0.6620519409595746,0.5558153474055748,0.6303974170283707,0.7127850651849422
AOI-0001,2010-07-12,102,0.2022522014950515,2010,new,0.19736585386196467,0.1881481151398332,0.2496200117420902,0.23274112920622975,0.2505566058728011,0.20722989613291296,0.14859495241432866,0.19757828694389362,0.2490889891096503,0.19736585386196467
AOI-0001,2010-09-23,175,0.1534457640560792,2010,new,0.23788097852710652,0.2426737753102548,0.18924081323316924,0.19005748366711678,0.19095818264622008,0.2265252684964588,0.14445856969416881,0.1238554283893614,0.20476966306352695,0.23788097852710652
AOI-0001,2011-07-08,311,0.7712520011323701,2011,new,0.7997411883165624,0.8329365360162124,0.7707173568098548,0.7914865468526222,0.6939014155000828,0.765014845671656,0.7628333688568363,0.6430852028208388,0.7320737940209091,0.7997411883165624
AOI-0001,2011-07-15,318,0.7496252552995117,2011,new,0.6487039659536251,0.6669597975179622,0.719017568034099,0.7367691868060093,0.644897188955095,0.6858262249399237,0.5734528704155896,0.5885436415605828,0.6623158582696947,0.6487039659536251
AOI-0001,2011-08-17,351,0.3537305457026612,2011,new,0.43613847158719804,0.4284993794905292,0.47539741005538944,0.46804531392704224,0.4658535722871834,0.44099522904448907,0.35148528728578965,0.39972209147593507,0.47197150166868673,0.43613847158719804
AOI-0001,2011-09-17,382,0.2910816664806041,2011,new,0.3344839577444748,0.3793730568256042,0.32133933069556325,0.3456022862142595,0.3507470284969201,0.3331615920046777,0.25868248745707634,0.2936007999198751,0.3842938818646568,0.3344839577444748
AOI-0001,2011-10-16,411,0.4755216525146964,2011,new,0.3835050651516988,0.4718850217164253,0.35414285554355546,0.36495335346483326,0.36738840400367284,0.2803277677337745,0.34291062878227496,0.32272142404213855,0.4265204833423937,0.3835050651516988
AOI-0001,2012-04-04,429,0.3494123383009573,2012,new,,,,,,,,,,
