anon_polygon_id,date,baseline,hgb,lag,shock,state,shock_n,state_n,canon,correction,primary_ndvi_pred
AOI-0001,2010-08-29,0.22092136,0.22303532,0.21246551,0.00027999,0.00233034,15,8,True,0.00000000,0.22092136
AOI-0001,2010-10-25,0.17491190,0.17828711,0.16141107,0.00000000,-0.00116175,8,8,False,0.00011617,0.17502807
AOI-0001,2011-06-13,0.66748003,0.67309022,0.64503926,-0.00329400,-0.02512406,5,8,False,0.00168891,0.66916894
AOI-0001,2011-09-18,0.27201920,0.26713554,0.29155385,-0.00310109,0.01020161,9,8,False,-0.00179543,0.27022377
AOI-0001,2011-09-26,0.26470342,0.26106044,0.27927533,0.00000000,0.00826664,7,8,False,-0.00082666,0.26387676
AOI-0001,2011-09-30,0.38206058,0.38632149,0.36501696,0.00000000,0.00795553,17,8,True,0.00000000,0.38206058
AOI-0001,2012-05-24,0.71968517,0.72544996,0.69662604,0.00000000,0.00739030,16,8,True,0.00000000,0.71968517
AOI-0001,2012-07-09,0.26126584,0.25191197,0.29868131,-0.07775050,-0.00358450,7,8,False,-0.01907917,0.24218667
AOI-0001,2012-07-11,0.34592878,0.35247535,0.31974252,0.04309150,-0.00140159,17,8,True,0.00000000,0.34592878
AOI-0001,2012-08-10,0.20771392,0.21042250,0.19687961,,-0.00143312,1,8,False,0.00014331,0.20785723
AOI-0001,2012-08-12,0.28962007,0.29994062,0.24833786,0.00000000,0.00265798,14,8,True,0.00000000,0.28962007
AOI-0001,2012-10-15,0.35136750,0.35976477,0.31777842,0.00000000,-0.00422762,17,8,True,0.00000000,0.35136750
AOI-0001,2013-05-01,0.81592742,0.81950799,0.80160517,-0.00144689,-0.00818453,6,8,False,0.00045673,0.81638415
AOI-0001,2013-07-12,0.32015125,0.32371641,0.30589062,0.01480307,-0.00180048,13,8,True,0.00000000,0.32015125
AOI-0001,2013-09-30,0.53932933,0.55777942,0.46552899,0.00949771,0.00872259,16,8,True,0.00000000,0.53932933
AOI-0001,2014-04-18,0.24366350,0.25022612,0.21741301,0.01574920,0.02668503,6,8,False,0.00126880,0.24493230
AOI-0001,2014-05-25,0.65394593,0.66120962,0.62489117,0.00346117,0.00391612,16,8,True,0.00000000,0.65394593
AOI-0001,2014-06-26,0.77484322,0.77790450,0.76259811,0.02347122,-0.00207523,15,8,True,0.00000000,0.77484322
AOI-0001,2014-07-15,0.77019797,0.77399358,0.75501550,-0.04538381,-0.00051057,3,8,False,-0.01129490,0.75890307
AOI-0001,2014-07-28,0.62716064,0.63661100,0.58935919,0.04931972,0.00651350,12,8,True,0.00000000,0.62716064
AOI-0001,2014-08-09,0.45708912,0.44571638,0.50258006,-0.03403907,-0.00071099,6,8,False,-0.00843867,0.44865045
AOI-0001,2014-08-13,0.41302393,0.40918084,0.42839629,0.03339717,-0.00076525,15,8,True,0.00000000,0.41302393
AOI-0001,2014-10-03,0.20105971,0.20628056,0.18017628,,0.00011748,2,8,False,-0.00001175,0.20104796
AOI-0001,2014-10-16,0.33655963,0.34064849,0.32020421,0.02249368,-0.00028420,16,8,True,0.00000000,0.33655963
AOI-0001,2015-04-13,0.45637193,0.46024531,0.44087843,,-0.00245997,2,8,False,0.00024600,0.45661793
AOI-0001,2015-08-11,0.21797141,0.22217820,0.20114426,0.00000000,-0.00059301,7,8,False,0.00005930,0.21803071
AOI-0001,2015-08-12,0.21376209,0.21716180,0.20016324,-0.05273573,-0.00055641,10,8,False,-0.01312829,0.20063380
AOI-0001,2015-08-27,0.20409792,0.21026774,0.17941866,0.01900124,0.00122019,6,8,False,0.00462829,0.20872621
AOI-0001,2015-09-20,0.19013435,0.19467757,0.17196144,-0.00626007,0.00148588,6,8,False,-0.00171361,0.18842074
AOI-0001,2015-09-28,0.19436199,0.20231870,0.16253515,0.00055428,-0.00117758,6,8,False,0.00025633,0.19461832
AOI-0001,2016-06-27,0.30153527,0.29252442,0.33757867,-0.01731619,0.00576066,9,8,False,-0.00490511,0.29663016
AOI-0001,2016-07-04,0.30741784,0.30494710,0.31730080,-0.02896277,0.00518632,6,8,False,-0.00775932,0.29965852
AOI-0001,2016-07-20,0.30324020,0.30498195,0.29627318,-0.06087436,-0.00012628,3,8,False,-0.01520596,0.28803424
AOI-0001,2016-07-27,0.35180356,0.36232426,0.30972079,0.00000000,0.00468948,11,8,True,0.00000000,0.35180356
AOI-0001,2016-08-29,0.29670738,0.29863061,0.28901444,0.01350648,0.02750566,7,8,False,0.00062605,0.29733343
AOI-0001,2016-08-30,0.27773163,0.27408731,0.29230889,-0.01781688,0.02773658,9,8,False,-0.00722788,0.27050375
AOI-0001,2016-09-15,0.32733321,0.31021559,0.39580367,-0.02590579,0.03234277,9,8,False,-0.00971072,0.31762249
AOI-0001,2016-09-29,0.62171223,0.64052072,0.54647828,0.03185367,0.03800745,15,8,True,0.00000000,0.62171223
AOI-0001,2017-05-12,0.74651166,0.75281893,0.72128260,-0.00501603,-0.00238500,7,8,False,-0.00101551,0.74549615
AOI-0001,2017-06-29,0.51934029,0.50650116,0.57069680,0.00122858,0.02092869,4,8,False,-0.00178572,0.51755457
AOI-0001,2017-07-12,0.44299921,0.44536072,0.43355315,0.03700044,0.02350483,16,8,True,0.00000000,0.44299921
AOI-0001,2017-08-09,0.31141197,0.31198013,0.30913931,-0.01731615,0.02338625,12,8,False,-0.00666766,0.30474431
AOI-0001,2017-08-29,0.26958883,0.27433216,0.25061550,0.05896267,0.02114181,14,8,True,0.00000000,0.26958883
AOI-0001,2017-09-08,0.20216957,0.20084036,0.20748640,0.00001365,0.01369186,7,8,False,-0.00136577,0.20080380
AOI-0001,2017-09-14,0.28812091,0.29118390,0.27586896,0.07102410,0.02818826,16,8,True,0.00000000,0.28812091
AOI-0001,2018-04-05,0.46639885,0.45978644,0.49284851,-0.01907948,-0.01210900,6,8,False,-0.00355897,0.46283988
AOI-0001,2018-04-23,0.75990599,0.75598196,0.77560209,0.01469970,-0.00808414,15,8,True,0.00000000,0.75990599
AOI-0001,2018-05-01,0.79975909,0.80670690,0.77196785,0.01320524,0.00224351,18,8,False,0.00307696,0.80283605
AOI-0001,2018-06-08,0.61147568,0.61070101,0.61457434,-0.03284955,-0.01281008,6,8,False,-0.00693138,0.60454430
AOI-0001,2018-07-12,0.33152713,0.34796587,0.26577218,0.01527116,-0.04102142,15,8,True,0.00000000,0.33152713
AOI-0001,2018-09-28,0.17831896,0.16882233,0.21630546,,0.01444634,0,8,False,-0.00144463,0.17687433
AOI-0001,2018-10-13,0.17942864,0.18162768,0.17063245,0.00000000,0.00747701,12,8,False,-0.00074770,0.17868094
AOI-0001,2019-05-11,0.50224498,0.50047099,0.50934094,-0.02992328,-0.02040067,9,8,False,-0.00544075,0.49680423
AOI-0001,2019-05-31,0.70889392,0.71031563,0.70320707,-0.03164287,0.03750269,10,8,False,-0.01166099,0.69723293
AOI-0001,2019-06-04,0.69995427,0.70196379,0.69191620,-0.04074273,0.02749160,8,8,False,-0.01293484,0.68701943
AOI-0001,2019-06-05,0.69093008,0.69323691,0.68170278,0.00000000,0.02766571,13,8,False,-0.00276657,0.68816351
AOI-0001,2019-06-25,0.36497007,0.35680766,0.39761968,-0.02196028,-0.00779316,8,8,False,-0.00471075,0.36025932
AOI-0001,2019-07-12,0.46172129,0.47281243,0.41735670,0.05563736,0.01238957,16,8,True,0.00000000,0.46172129
AOI-0001,2019-07-22,0.34698158,0.33795651,0.38308185,0.00343621,0.02171856,10,8,False,-0.00131280,0.34566878
