protocol,partition,method,n,cal_n,rmse,mae,baseline_rmse,fit_source
exact_hidden_doy,exact2019,safe_loo_date_w10,249,3029,0.06494549171348836,0.04702821069883594,0.06504498648921714,observed_calibration_only
exact_hidden_doy,exact2019,safe_loo_date_w20,249,3029,0.06486108287005012,0.046898481711993595,0.06504498648921714,observed_calibration_only
exact_hidden_doy,exact2019,safe_loo_crop_doy_w10,249,3029,0.06495258974299511,0.047060684920467104,0.06504498648921714,observed_calibration_only
exact_hidden_doy,exact2019,safe_loo_crop_doy_w20,249,3029,0.06487413261745838,0.0469695822499488,0.06504498648921714,observed_calibration_only
exact_hidden_doy,exact2019,safe_loo_doy_w10,249,3029,0.06494301193014343,0.04711008557790166,0.06504498648921714,observed_calibration_only
exact_hidden_doy,exact2019,safe_loo_doy_w20,249,3029,0.06485268970218096,0.04706540999178742,0.06504498648921714,observed_calibration_only
exact_hidden_doy,exact2019,safe_pca_rank1_b0.5,249,3029,0.06443406208560638,0.04666593342617882,0.06504498648921714,observed_calibration_only
exact_hidden_doy,exact2019,safe_pca_rank1_b1.0,249,3029,0.06548300159064464,0.04798444001548289,0.06504498648921714,observed_calibration_only
exact_hidden_doy,exact2019,safe_pca_rank2_b0.5,249,3029,0.06449278709292519,0.04616754574655929,0.06504498648921714,observed_calibration_only
exact_hidden_doy,exact2019,safe_pca_rank2_b1.0,249,3029,0.06553960024382458,0.047547215213084006,0.06504498648921714,observed_calibration_only
exact_hidden_doy,exact2020,safe_loo_date_w10,222,3031,0.06418328283993915,0.0466696435604442,0.0642742645224812,observed_calibration_only
exact_hidden_doy,exact2020,safe_loo_date_w20,222,3031,0.06409544626093668,0.046562537306541515,0.0642742645224812,observed_calibration_only
exact_hidden_doy,exact2020,safe_loo_crop_doy_w10,222,3031,0.06404856821018341,0.046655537382000976,0.0642742645224812,observed_calibration_only
exact_hidden_doy,exact2020,safe_loo_crop_doy_w20,222,3031,0.06384098095206679,0.04655706730955476,0.0642742645224812,observed_calibration_only
exact_hidden_doy,exact2020,safe_loo_doy_w10,222,3031,0.06416194474370528,0.046696200162358856,0.0642742645224812,observed_calibration_only
exact_hidden_doy,exact2020,safe_loo_doy_w20,222,3031,0.06406128100504198,0.04661242812635122,0.0642742645224812,observed_calibration_only
exact_hidden_doy,exact2020,safe_pca_rank1_b0.5,222,3031,0.06210622265193175,0.04364944154025261,0.0642742645224812,observed_calibration_only
exact_hidden_doy,exact2020,safe_pca_rank1_b1.0,222,3031,0.06295047303919192,0.043412119299070566,0.0642742645224812,observed_calibration_only
exact_hidden_doy,exact2020,safe_pca_rank2_b0.5,222,3031,0.062082969282730646,0.04362007449340726,0.0642742645224812,observed_calibration_only
exact_hidden_doy,exact2020,safe_pca_rank2_b1.0,222,3031,0.0629819219725597,0.0433743385868276,0.0642742645224812,observed_calibration_only
exact_hidden_doy,exact2021,safe_loo_date_w10,130,3043,0.08980598018179799,0.06683339094916836,0.09026033289207216,observed_calibration_only
exact_hidden_doy,exact2021,safe_loo_date_w20,130,3043,0.08936565192941982,0.06653528759964322,0.09026033289207216,observed_calibration_only
exact_hidden_doy,exact2021,safe_loo_crop_doy_w10,130,3043,0.09004678654831214,0.06697190415724225,0.09026033289207216,observed_calibration_only
exact_hidden_doy,exact2021,safe_loo_crop_doy_w20,130,3043,0.08984321604874822,0.0668063381111087,0.09026033289207216,observed_calibration_only
exact_hidden_doy,exact2021,safe_loo_doy_w10,130,3043,0.09007122193379102,0.06698197701733467,0.09026033289207216,observed_calibration_only
exact_hidden_doy,exact2021,safe_loo_doy_w20,130,3043,0.08989070064406413,0.06681602390081401,0.09026033289207216,observed_calibration_only
exact_hidden_doy,exact2021,safe_pca_rank1_b0.5,130,3043,0.09038978605900577,0.0665439744693994,0.09026033289207216,observed_calibration_only
exact_hidden_doy,exact2021,safe_pca_rank1_b1.0,130,3043,0.0922603436441491,0.06777038963693052,0.09026033289207216,observed_calibration_only
exact_hidden_doy,exact2021,safe_pca_rank2_b0.5,130,3043,0.09051216178007526,0.06712917783368924,0.09026033289207216,observed_calibration_only
exact_hidden_doy,exact2021,safe_pca_rank2_b1.0,130,3043,0.09284714857589649,0.06873763526272543,0.09026033289207216,observed_calibration_only
exact_hidden_doy,exact2022,safe_loo_date_w10,192,3039,0.07226336277103801,0.053015734432576796,0.07224060509795764,observed_calibration_only
exact_hidden_doy,exact2022,safe_loo_date_w20,192,3039,0.0722943243891153,0.05302198063800082,0.07224060509795764,observed_calibration_only
exact_hidden_doy,exact2022,safe_loo_crop_doy_w10,192,3039,0.07230249186998114,0.05301818505742963,0.07224060509795764,observed_calibration_only
exact_hidden_doy,exact2022,safe_loo_crop_doy_w20,192,3039,0.07238084702041044,0.0530011605281093,0.07224060509795764,observed_calibration_only
exact_hidden_doy,exact2022,safe_loo_doy_w10,192,3039,0.0722680441954672,0.05300637697625666,0.07224060509795764,observed_calibration_only
exact_hidden_doy,exact2022,safe_loo_doy_w20,192,3039,0.07230671807083332,0.05298046404502829,0.07224060509795764,observed_calibration_only
exact_hidden_doy,exact2022,safe_pca_rank1_b0.5,192,3039,0.07026106293795714,0.051378857360090006,0.07224060509795764,observed_calibration_only
exact_hidden_doy,exact2022,safe_pca_rank1_b1.0,192,3039,0.06986729168609979,0.05088435830374629,0.07224060509795764,observed_calibration_only
exact_hidden_doy,exact2022,safe_pca_rank2_b0.5,192,3039,0.0701869726447243,0.0509691498046669,0.07224060509795764,observed_calibration_only
exact_hidden_doy,exact2022,safe_pca_rank2_b1.0,192,3039,0.06985729182123372,0.04987095024009325,0.07224060509795764,observed_calibration_only
exact_hidden_doy,exact2023,safe_loo_date_w10,169,3034,0.07606264700416225,0.05235719085174242,0.07616221867194352,observed_calibration_only
exact_hidden_doy,exact2023,safe_loo_date_w20,169,3034,0.07597331524226802,0.05232324880967827,0.07616221867194352,observed_calibration_only
exact_hidden_doy,exact2023,safe_loo_crop_doy_w10,169,3034,0.07625026720975073,0.05238937579953708,0.07616221867194352,observed_calibration_only
exact_hidden_doy,exact2023,safe_loo_crop_doy_w20,169,3034,0.07635378433080615,0.052365063253733565,0.07616221867194352,observed_calibration_only
exact_hidden_doy,exact2023,safe_loo_doy_w10,169,3034,0.07623665053504085,0.052393283811692955,0.07616221867194352,observed_calibration_only
exact_hidden_doy,exact2023,safe_loo_doy_w20,169,3034,0.07632189589460824,0.05237287927804534,0.07616221867194352,observed_calibration_only
