protocol,tag,candidate,n,rmse_pooled,mae_pooled,partitions
exact_hidden_doy,loo_year,baseline,1114,0.06260634739886303,0.04285451444746954,6
exact_hidden_doy,loo_year,ridge30_s0.25,1114,0.06262361892651572,0.04289957777151588,6
exact_hidden_doy,loo_year,hgb8_s0.25,1114,0.06263899683516978,0.04285713425616014,6
exact_hidden_doy,loo_year,ridge10_s0.25,1114,0.06269580737335421,0.0429142963673365,6
exact_hidden_doy,loo_year,hgb16_s0.25,1114,0.06271556154469737,0.0429326336606054,6
exact_hidden_doy,loo_year,ridge30_s0.50,1114,0.06282750883641887,0.04316911257646591,6
exact_hidden_doy,loo_year,hgb8_s0.50,1114,0.06292565090091183,0.043165866753899204,6
exact_hidden_doy,loo_year,ridge10_s0.50,1114,0.06302383196009845,0.043240085862989525,6
exact_hidden_doy,loo_year,hgb16_s0.50,1114,0.06313823105548798,0.04338106223590196,6
exact_hidden_doy,loo_year,ridge30_s0.75,1114,0.06321621146539569,0.04364713184974637,6
exact_hidden_doy,loo_year,ridge100,1114,0.06341178552761455,0.0440847801710552,6
exact_hidden_doy,loo_year,hgb8_s0.75,1114,0.0634628677652387,0.04375693842777214,6
exact_hidden_doy,loo_year,ridge10_s0.75,1114,0.06358672921955566,0.04381607448355996,6
exact_hidden_doy,loo_year,ridge30,1114,0.06378634825568447,0.04432322940769614,6
exact_hidden_doy,loo_year,hgb16_s0.75,1114,0.06386813303577547,0.04414248144016702,6
exact_hidden_doy,loo_year,huber,1114,0.06406499425899759,0.044240099051711175,6
exact_hidden_doy,loo_year,hgb8,1114,0.06424436205279534,0.044653680418365246,6
exact_hidden_doy,loo_year,ridge10,1114,0.0643783385613192,0.0445973280108168,6
exact_hidden_doy,loo_year,hgb16,1114,0.0648949015704986,0.045287961266966874,6
random_private_like,fit_exact,ridge30_s0.25,7932,0.0694417974384466,0.042608052329203776,3
random_private_like,fit_exact,baseline,7932,0.06944909527214516,0.04255656913985455,3
random_private_like,fit_exact,ridge10_s0.25,7932,0.06948771495366272,0.04267525128222047,3
random_private_like,fit_exact,hgb8_s0.25,7932,0.0694878311483055,0.0427237262874741,3
random_private_like,fit_exact,hgb16_s0.25,7932,0.06949857104026007,0.04276207038033232,3
random_private_like,fit_exact,ridge30_s0.50,7932,0.0697209835268568,0.04302633166128865,3
random_private_like,fit_exact,hgb8_s0.50,7932,0.06981091438695512,0.04326181450469961,3
random_private_like,fit_exact,hgb16_s0.50,7932,0.06989473371645097,0.04340996184057408,3
random_private_like,fit_exact,ridge10_s0.50,7932,0.06996590177303198,0.04330284137607037,3
random_private_like,fit_exact,ridge30_s0.75,7932,0.07028323962033522,0.043731703877029425,3
random_private_like,fit_exact,hgb8_s0.75,7932,0.0704144310753242,0.04409371148777488,3
random_private_like,fit_exact,ridge100,7932,0.07056718867627192,0.04407913959140358,3
random_private_like,fit_exact,hgb16_s0.75,7932,0.07063175000016657,0.0444195240756787,3
random_private_like,fit_exact,ridge10_s0.75,7932,0.0708747591065799,0.04429312053123969,3
random_private_like,fit_exact,ridge30,7932,0.07112185257861268,0.0446847719069726,3
random_private_like,fit_exact,huber,7932,0.0712364731602198,0.04465317783865197,3
random_private_like,fit_exact,hgb8,7932,0.07129125953475521,0.04520253880078259,3
random_private_like,fit_exact,hgb16,7932,0.07169910945761743,0.04577663350264173,3
random_private_like,fit_exact,ridge10,7932,0.07219802443272245,0.045574431962945576,3
random_private_like,loo_seed,hgb16,7932,0.06870605371114649,0.04215652730503385,3
random_private_like,loo_seed,hgb16_s0.75,7932,0.06871893399275253,0.0420793854984114,3
random_private_like,loo_seed,hgb16_s0.50,7932,0.06884759315236914,0.04211741312979789,3
random_private_like,loo_seed,hgb8,7932,0.06892637446212033,0.04228284704668877,3
random_private_like,loo_seed,hgb8_s0.75,7932,0.06894478477172576,0.04222622897655689,3
random_private_like,loo_seed,hgb8_s0.50,7932,0.06903828445435052,0.04225703037117397,3
random_private_like,loo_seed,hgb16_s0.25,7932,0.06909138439690256,0.04227195732014048,3
random_private_like,loo_seed,hgb8_s0.25,7932,0.06920656916820193,0.042365225250185115,3
random_private_like,loo_seed,ridge10_s0.50,7932,0.06925367193146167,0.04242513497481511,3
random_private_like,loo_seed,ridge30_s0.50,7932,0.0692715558110095,0.04242720802319081,3
random_private_like,loo_seed,ridge10_s0.75,7932,0.06927699256583911,0.042511629308914646,3
random_private_like,loo_seed,ridge30_s0.75,7932,0.06928620884692664,0.04249820441024649,3
random_private_like,loo_seed,ridge10_s0.25,7932,0.06931110628445185,0.04243449601359096,3
random_private_like,loo_seed,ridge30_s0.25,7932,0.06932590528600635,0.04244300652292975,3
random_private_like,loo_seed,ridge100,7932,0.06936770601267961,0.042611719607457146,3
random_private_like,loo_seed,ridge30,7932,0.06936982066742513,0.042653742257165936,3
random_private_like,loo_seed,ridge10,7932,0.0693809867564954,0.042696078378458645,3
random_private_like,loo_seed,baseline,7932,0.06944909527214516,0.04255656913985455,3
random_private_like,loo_seed,huber,7932,0.06948103409820186,0.04223103272034222,3
