private,train,n,both_exact,both_exact6,temp_rmse,precip_rmse,temp_corr,precip_corr
AOI-0001,AOI-0002,3078,1.0,1.0,0.0,1.8135266486030583e-18,0.9999999999999999,1.0
AOI-0001,AOI-0003,3078,1.0,1.0,0.0,0.0,0.9999999999999999,1.0
AOI-0001,AOI-0004,3078,0.0,0.0,0.04586642060699404,0.1611431425348016,0.9999829910743377,0.9987029299552118
AOI-0001,AOI-0007,3078,0.0,0.0,0.7001327654765257,2.307511403609823,0.9958322780198252,0.7414143260114594
AOI-0001,AOI-0011,3078,0.0,0.0,0.7001327654765257,2.307511403609823,0.9958322780198252,0.7414143260114594
AOI-0001,AOI-0015,3078,0.0,0.0,0.23412836029510037,1.0419932801446348,0.9993977506391893,0.9450365545209314
AOI-0001,AOI-0019,3078,0.0,0.0,0.3994026053104043,1.643314890916333,0.9983416701806185,0.8640560115803209
AOI-0001,AOI-0020,3078,0.0,0.0,0.3994026053104043,1.643314890916333,0.9983416701806185,0.8640560115803209
AOI-0001,AOI-0021,3078,0.0,0.0,0.3994026053104043,1.643314890916333,0.9983416701806185,0.8640560115803209
AOI-0001,AOI-0022,3078,0.0,0.0,0.3994026053104043,1.643314890916333,0.9983416701806185,0.8640560115803209
AOI-0001,AOI-0023,3078,0.0,0.0,0.5198777364326513,1.9691826527341652,0.9974554380824516,0.8133923980209552
AOI-0001,AOI-0026,3078,0.0,0.0,0.20397429295646682,0.9045932670807284,0.999556552196806,0.9602357721431706
AOI-0001,AOI-0030,3078,0.0,0.0,0.16985611261373457,0.6927194279413358,0.9997310791545675,0.9763101841687352
AOI-0001,AOI-0033,3078,0.0,0.0,1.4319509318010455,3.3863879110643573,0.9808028774395446,0.3569027434035774
AOI-0001,AOI-0037,3078,0.0,0.0,1.6191367820512559,3.3720147781426184,0.9772328507377395,0.34481070429314736
AOI-0001,AOI-0038,3078,0.0,0.0,1.6847280860424154,3.3397935733236834,0.9756503714567029,0.3456172213863496
AOI-0001,AOI-0040,3078,0.0,0.0,1.6191367820512559,3.3720147781426184,0.9772328507377395,0.34481070429314736
AOI-0001,AOI-0043,3078,0.0,0.0,0.9722707036904124,2.611921869879801,0.9917260298774689,0.6534508964763782
AOI-0001,AOI-0045,3078,0.0,0.0,1.0066059964274683,2.6569350419244038,0.9910876083436577,0.6363391654777135
AOI-0001,AOI-0048,3078,0.0,0.0,0.891344804540999,2.6141651518925575,0.9927360647306861,0.6586667116951875
AOI-0001,AOI-0052,3078,0.0,0.0,0.6741634245651666,1.8905038268876326,0.9959796423215237,0.8291390843751526
AOI-0001,AOI-0053,3078,0.0,0.0,0.5937544229317772,1.8655943188587671,0.9972146217608225,0.8431844352613646
AOI-0001,AOI-0060,3078,0.0,0.0,0.7849805977696815,2.1453536544083835,0.9942931851232952,0.783948208919821
AOI-0001,AOI-0063,3078,0.0,0.0,1.1711300039599795,3.617612136052499,0.9852808231339112,0.5193508722691044
AOI-0001,AOI-0064,3078,0.0,0.0,1.1246523565179498,3.4800185689240393,0.9866668802741698,0.5280557846194357
AOI-0001,AOI-0065,3078,0.0,0.0,1.1711300039599795,3.617612136052499,0.9852808231339112,0.5193508722691044
AOI-0001,AOI-0069,3078,0.0,0.0,1.4106453140901727,3.2512816253489505,0.982419475490821,0.4458287776203475
AOI-0001,AOI-0070,3078,0.0,0.0,1.439438521321339,3.3111553765869517,0.9818529863523434,0.4304238218389411
AOI-0001,AOI-0075,3078,0.0,0.0,2.7650020227981806,3.879196209226523,0.9621386535603351,0.3743102192430656
AOI-0014,AOI-0002,3073,0.0,0.0,0.2350462207367795,1.0425674944186607,0.9993909240565889,0.9448897801484666
AOI-0014,AOI-0003,3073,0.0,0.0,0.2350462207367795,1.0425674944186607,0.9993909240565889,0.9448897801484666
AOI-0014,AOI-0004,3073,0.0,0.0,0.24734418706605463,1.0897308310226164,0.9993198453831256,0.9398973659762155
AOI-0014,AOI-0007,3073,0.0,0.0,0.5790733013133784,1.8257842385313319,0.9973664608063926,0.8383809672443305
AOI-0014,AOI-0011,3073,0.0,0.0,0.5790733013133784,1.8257842385313319,0.9973664608063926,0.8383809672443305
AOI-0014,AOI-0015,3073,1.0,1.0,0.0,0.0,1.0,0.9999999999999999
AOI-0014,AOI-0019,3073,0.0,0.0,0.2617691627918372,0.9801018435993859,0.9993103504198111,0.9510657573447742
AOI-0014,AOI-0020,3073,0.0,0.0,0.2617691627918372,0.9801018435993859,0.9993103504198111,0.9510657573447742
AOI-0014,AOI-0021,3073,0.0,0.0,0.2617691627918372,0.9801018435993859,0.9993103504198111,0.9510657573447742
AOI-0014,AOI-0022,3073,0.0,0.0,0.2617691627918372,0.9801018435993859,0.9993103504198111,0.9510657573447742
