dataset,method,n,rmse_pooled,rmse_mean,mae_mean,rmse_2025,rmse_hidden_doy,rmse_non_hidden_doy,rmse_canon,rmse_noncanon,rmse_shared,rmse_private_only
exact_hidden_doy,blend_lag_0.30,1114,0.0625196365651102,0.06298997263495983,0.04377292958070117,,0.0625196365651102,,0.06778174850900272,0.05802025271780951,0.0625196365651102,
exact_hidden_doy,blend_lag_0.25,1114,0.06253669227941114,0.06299588398722042,0.04371981278316312,,0.06253669227941114,,0.06780169663405555,0.05803473467920386,0.06253669227941114,
exact_hidden_doy,blend_lag_0.20,1114,0.06260634739886303,0.06305408551317317,0.04370571649624524,,0.06260634739886303,,0.06788475528346069,0.058092407460386596,0.06260634739886303,
exact_hidden_doy,blend_lag_fit_global,1114,0.06262520627992942,0.06309325362279362,0.043842757407698774,,0.06262520627992942,,0.06787678618381472,0.058136162818096845,0.06262520627992942,
exact_hidden_doy,blend_lag_fit_hidden_doy,1114,0.06262520627992942,0.06309325362279362,0.043842757407698774,,0.06262520627992942,,0.06787678618381472,0.058136162818096845,0.06262520627992942,
exact_hidden_doy,blend_lag_fit_span,1114,0.06264270541685575,0.06309039624461805,0.04390130928868664,,0.06264270541685575,,0.06799815185251773,0.05805769080731937,0.06264270541685575,
exact_hidden_doy,blend_lag_fit_canon,1114,0.06267770510094,0.06314790654077565,0.04383823889619898,,0.06267770510094,,0.0678883940335072,0.05822669916862497,0.06267770510094,
exact_hidden_doy,blend_lag_0.15,1114,0.0627284267008631,0.06316449513505457,0.04373777215580612,,0.0627284267008631,,0.06803069330276021,0.05819314264767337,0.0627284267008631,
exact_hidden_doy,blend_lag_0.10,1114,0.06290262495687327,0.0633268956701595,0.04382208918712064,,0.06290262495687327,,0.0682391072665311,0.05833671716245465,0.06290262495687327,
exact_hidden_doy,blend_lag_0.05,1114,0.06312851071366743,0.0635409370906262,0.0439530192499932,,0.06312851071366743,,0.06850942699900565,0.0585228157113351,0.06312851071366743,
exact_hidden_doy,hgb_raw,1114,0.06340553155480409,0.06380614056177723,0.044115541207563384,,0.06340553155480409,,0.06884092324229149,0.05875103420097757,0.06340553155480409,
exact_hidden_doy,hgb_clip_01,1114,0.06340553155480409,0.06380614056177723,0.044115541207563384,,0.06340553155480409,,0.06884092324229149,0.05875103420097757,0.06340553155480409,
exact_hidden_doy,hgb_clip_02_11,1114,0.06340553155480409,0.06380614056177723,0.044115541207563384,,0.06340553155480409,,0.06884092324229149,0.05875103420097757,0.06340553155480409,
exact_hidden_doy,hgb_groupbias_year,1114,0.06340553155480409,0.06380614056177723,0.044115541207563384,,0.06340553155480409,,0.06884092324229149,0.05875103420097757,0.06340553155480409,
