truth,doy,canon,src,cur_pred,idw_pred
0.8261870272789141,114,False,landsat,0.7027099229813494,0.7124650386891491
0.8154570151097014,138,False,landsat,0.6908609808540362,0.668754460608043
0.8427347485303727,145,True,modis,0.6835212035736065,0.6707375467850152
0.1589617400262272,242,False,landsat,0.18117344763841695,0.20182388157976408
0.1789340010985546,108,False,landsat,0.2083026382505858,0.22449048970049357
0.5094951991641379,156,False,landsat,0.5618574348329667,0.5577760490407069
0.7496252552995117,196,False,landsat,0.673257717287481,0.6660372134690078
0.3537305457026612,229,False,landsat,0.43136317075377373,0.425910250021502
0.3406709223244566,245,False,landsat,0.35288234138365915,0.36672285261828486
0.7731293150404653,127,False,landsat,0.6338388433390305,0.6341856288648073
0.7212150228608754,129,True,modis,0.6615355657798525,0.6479527610370311
0.4171321032005226,177,True,modis,0.4131911461925562,0.4076252619880175
0.8277768778576094,113,True,modis,0.7639509809786167,0.7487171043128323
0.8207372251013105,122,False,landsat,0.7187422358015612,0.6991168801059022
0.2596467734927721,201,False,landsat,0.28053207008705916,0.2553900366116636
0.7293943827563685,161,True,modis,0.6315502386923286,0.6310626301302874
0.72905614382807,205,False,landsat,0.6707910233486153,0.6565572337800236
0.6348345965917321,212,False,landsat,0.5792143733801548,0.5703053302399022
0.2567289353363814,273,True,modis,0.309972975030104,0.27461391976674376
0.6978706727629003,161,True,modis,0.676214778335514,0.677082606270965
0.1704357971399509,215,False,landsat,0.24680321489956758,0.22775712073495757
0.23493187459177,257,True,modis,0.23922120519968842,0.2098179595087329
0.2219707571801566,273,True,modis,0.22697042728650652,0.2067409031355005
0.6950718158066623,145,True,modis,0.511855936745489,0.469908290059526
0.474403473696065,146,False,landsat,0.39535774806312945,0.4466961743504053
0.3567804049640759,193,True,modis,0.3554768871436902,0.3376427922780234
0.284425795007836,194,False,landsat,0.31570010498666023,0.3273395498562872
0.7626847984275666,126,False,s2,0.6567742307557981,0.6796027358063774
0.8080149235603722,148,False,landsat,0.7122724879274521,0.7119668538582604
