anon_polygon_id,date,nearest_same_crop_numeric_days,alpha,base,source_route,pred
AOI-0001,2010-08-29,9.000000000,0.250000000,0.219250230,0.208734473,0.212677882
AOI-0001,2010-10-25,9.000000000,0.250000000,0.175908440,0.175936922,0.175926241
AOI-0001,2011-06-13,12.000000000,0.250000000,0.662597630,0.662345198,0.662439860
AOI-0001,2011-09-18,9.000000000,0.250000000,0.263319350,0.256389597,0.258988254
AOI-0001,2011-09-26,12.000000000,0.250000000,0.259257030,0.253315279,0.255543436
AOI-0001,2011-09-30,9.000000000,0.250000000,0.386871490,0.397231257,0.393346344
AOI-0001,2012-05-24,9.000000000,0.250000000,0.704667830,0.722274204,0.715671814
AOI-0001,2012-07-09,12.000000000,0.250000000,0.252249530,0.252130607,0.252175203
AOI-0001,2012-07-11,9.000000000,0.250000000,0.322463040,0.334316138,0.329871226
AOI-0001,2012-08-10,27.000000000,0.250000000,0.200198740,0.199379895,0.199686962
AOI-0001,2012-08-12,9.000000000,0.250000000,0.276353520,0.291076140,0.285555157
AOI-0001,2012-10-15,9.000000000,0.250000000,0.340171980,0.340515284,0.340386545
AOI-0001,2013-05-01,12.000000000,0.250000000,0.816531540,0.821196186,0.819446944
AOI-0001,2013-07-12,13.000000000,0.250000000,0.325640800,0.292268264,0.304782965
AOI-0001,2013-09-30,9.000000000,0.250000000,0.504594700,0.518198410,0.513097019
AOI-0001,2014-04-18,12.000000000,0.250000000,0.236068180,0.244302065,0.241214358
AOI-0001,2014-05-25,9.000000000,0.250000000,0.642948750,0.658514032,0.652677051
AOI-0001,2014-06-26,9.000000000,0.250000000,0.782361600,0.776472239,0.778680749
AOI-0001,2014-07-15,inf,0.250000000,0.746867310,0.744384071,0.745315286
AOI-0001,2014-07-28,9.000000000,0.250000000,0.620635330,0.608037838,0.612761897
AOI-0001,2014-08-09,9.000000000,0.250000000,0.451857090,0.446063278,0.448235958
AOI-0001,2014-08-13,9.000000000,0.250000000,0.410089700,0.408701551,0.409222107
AOI-0001,2014-10-03,13.000000000,0.250000000,0.199037900,0.201927091,0.200843644
AOI-0001,2014-10-16,9.000000000,0.250000000,0.327435830,0.317814475,0.321422483
AOI-0001,2015-04-13,inf,0.250000000,0.427165350,0.428934035,0.428270778
AOI-0001,2015-08-11,12.000000000,0.250000000,0.216392670,0.217299561,0.216959477
AOI-0001,2015-08-12,9.000000000,0.250000000,0.202006100,0.204477615,0.203550797
AOI-0001,2015-08-27,12.000000000,0.250000000,0.207789450,0.213907621,0.211613307
