anon_polygon_id,date,n16_c60_r125_k2,n16_c80_r125_k3,shock,state,base_file,year,canon
AOI-0001,2010-08-29,0.17403988,0.19108540,0.00027999,0.00233034,0.21966164,2010,True
AOI-0001,2010-10-25,0.14890914,0.14890914,0.00000000,-0.00116175,0.17639892,2010,False
AOI-0001,2011-06-13,0.44660977,0.44660977,-0.00329400,-0.02512406,0.66494372,2011,False
AOI-0001,2011-09-18,0.29119952,0.29119952,-0.00310109,0.01020161,0.26187146,2011,False
AOI-0001,2011-09-26,0.31000918,0.31000918,0.00000000,0.00826664,0.25789653,2011,False
AOI-0001,2011-09-30,0.36347841,0.34478761,0.00000000,0.00795553,0.38778091,2011,True
AOI-0001,2012-05-24,,,0.00000000,0.00739030,0.70262001,2012,True
AOI-0001,2012-07-09,,,-0.07775050,-0.00358450,0.25102003,2012,False
AOI-0001,2012-07-11,,,0.04309150,-0.00140159,0.31926317,2012,True
AOI-0001,2012-08-10,,,,-0.00143312,0.19917394,2012,False
AOI-0001,2012-08-12,,,0.00000000,0.00265798,0.27454444,2012,True
AOI-0001,2012-10-15,,,0.00000000,-0.00422762,0.33864532,2012,True
AOI-0001,2013-05-01,,,-0.00144689,-0.00818453,0.81661392,2013,False
AOI-0001,2013-07-12,,,0.01480307,-0.00180048,0.32638937,2013,True
AOI-0001,2013-09-30,,,0.00949771,0.00872259,0.49985816,2013,True
AOI-0001,2014-04-18,,,0.01574920,0.02668503,0.23503245,2014,False
AOI-0001,2014-05-25,,,0.00346117,0.00391612,0.64144913,2014,True
AOI-0001,2014-06-26,,,0.02347122,-0.00207523,0.78338683,2014,True
AOI-0001,2014-07-15,,,-0.04538381,-0.00051057,0.74368586,2014,False
AOI-0001,2014-07-28,,,0.04931972,0.00651350,0.61974552,2014,True
AOI-0001,2014-08-09,,,-0.03403907,-0.00071099,0.45114363,2014,False
AOI-0001,2014-08-13,,,0.03339717,-0.00076525,0.40968958,2014,True
AOI-0001,2014-10-03,,,,0.00011748,0.19876220,2014,False
AOI-0001,2014-10-16,,,0.02249368,-0.00028420,0.32619168,2014,True
AOI-0001,2015-04-13,,,,-0.00245997,0.42318263,2015,False
AOI-0001,2015-08-11,0.28558862,0.28558862,0.00000000,-0.00059301,0.21525533,2015,False
AOI-0001,2015-08-12,0.24160606,0.24160606,-0.05273573,-0.00055641,0.20002332,2015,False
AOI-0001,2015-08-27,0.19394777,0.19394777,0.01900124,0.00122019,0.20843125,2015,False
AOI-0001,2015-09-20,0.14354007,0.14354007,-0.00626007,0.00148588,0.18493756,2015,False
AOI-0001,2015-09-28,0.17633555,0.17633555,0.00055428,-0.00117758,0.19127589,2015,False
AOI-0001,2016-06-27,0.30701177,,-0.01731619,0.00576066,0.28766602,2016,False
AOI-0001,2016-07-04,0.33475744,,-0.02896277,0.00518632,0.28993866,2016,False
AOI-0001,2016-07-20,,,-0.06087436,-0.00012628,0.28559601,2016,False
AOI-0001,2016-07-27,,,0.00000000,0.00468948,0.36116571,2016,True
AOI-0001,2016-08-29,0.43601393,,0.01350648,0.02750566,0.29555023,2016,False
AOI-0001,2016-08-30,0.37044628,,-0.01781688,0.02773658,0.26847283,2016,False
AOI-0001,2016-09-15,,,-0.02590579,0.03234277,0.32023232,2016,False
AOI-0001,2016-09-29,0.26930088,,0.03185367,0.03800745,0.58873494,2016,True
AOI-0001,2017-05-12,0.77974793,0.78796097,-0.00501603,-0.00238500,0.72929201,2017,False
AOI-0001,2017-06-29,0.53891683,0.51895483,0.00122858,0.02092869,0.52385780,2017,False
AOI-0001,2017-07-12,0.42665092,0.41083542,0.03700044,0.02350483,0.46288059,2017,True
AOI-0001,2017-08-09,0.23117650,0.23252340,-0.01731615,0.02338625,0.30099540,2017,False
AOI-0001,2017-08-29,0.23315281,0.25861388,0.05896267,0.02114181,0.26443222,2017,True
AOI-0001,2017-09-08,0.28763997,0.27969217,0.00001365,0.01369186,0.20685300,2017,False
AOI-0001,2017-09-14,0.35649568,0.36103598,0.07102410,0.02818826,0.29225732,2017,True
AOI-0001,2018-04-05,0.53078981,0.49882553,-0.01907948,-0.01210900,0.50091583,2018,False
AOI-0001,2018-04-23,0.81433265,0.79737275,0.01469970,-0.00808414,0.78020078,2018,True
AOI-0001,2018-05-01,0.81916548,0.80351207,0.01320524,0.00224351,0.79803993,2018,False
AOI-0001,2018-06-08,0.65859668,0.64890636,-0.03284955,-0.01281008,0.62024828,2018,False
AOI-0001,2018-07-12,0.26629356,0.31328581,0.01527116,-0.04102142,0.30463496,2018,True
AOI-0001,2018-09-28,,,,0.01444634,0.17749874,2018,False
AOI-0001,2018-10-13,0.19824529,0.20601819,0.00000000,0.00747701,0.17830493,2018,False
AOI-0001,2019-05-11,,,-0.02992328,-0.02040067,0.51871476,2019,False
AOI-0001,2019-05-31,,,-0.03164287,0.03750269,0.71275044,2019,False
AOI-0001,2019-06-04,,,-0.04074273,0.02749160,0.69943363,2019,False
AOI-0001,2019-06-05,0.64418563,,0.00000000,0.02766571,0.70007372,2019,False
AOI-0001,2019-06-25,,,-0.02196028,-0.00779316,0.35847655,2019,False
AOI-0001,2019-07-12,,,0.05563736,0.01238957,0.45150307,2019,True
AOI-0001,2019-07-22,0.27098427,,0.00343621,0.02171856,0.36707155,2019,False
AOI-0001,2019-07-29,,,0.00101337,0.03457668,0.44196029,2019,False
AOI-0001,2019-08-30,,,0.02596625,-0.01278950,0.27523564,2019,False
AOI-0001,2019-09-07,,,0.11193745,-0.02955532,0.27484211,2019,False
AOI-0001,2019-09-08,0.30853822,,0.00036908,-0.02933732,0.23944629,2019,False
AOI-0001,2019-09-18,,,-0.09552027,-0.00699251,0.11287125,2019,False
AOI-0001,2020-04-03,0.74617759,0.74445945,0.00000000,0.00567173,0.55543840,2020,False
AOI-0001,2020-04-26,0.74218949,0.74218949,0.00000000,0.00184210,0.67197316,2020,False
AOI-0001,2020-05-30,0.74566305,0.68821608,-0.03276384,-0.01163092,0.81706711,2020,False
AOI-0001,2020-06-09,0.71789087,0.72028397,0.09872051,0.01539539,0.76461810,2020,True
AOI-0001,2020-07-14,0.20545183,0.20325076,-0.01910582,0.00080596,0.18179978,2020,False
AOI-0001,2020-07-23,0.28815242,0.28815242,0.00000000,0.00366203,0.21662483,2020,False
AOI-0001,2020-07-27,0.32207704,0.31666456,0.05864919,0.01181785,0.28813996,2020,True
AOI-0001,2020-08-08,0.21684777,0.22384248,-0.00218654,-0.00558379,0.18917345,2020,False
AOI-0001,2020-09-01,0.24050973,0.24050973,0.00000000,0.01499045,0.29882299,2020,False
AOI-0001,2020-09-02,0.22293782,0.23738132,0.00000000,0.01460188,0.28113855,2020,False
AOI-0001,2020-09-12,0.22268423,0.22079214,-0.00691309,-0.00170095,0.23414285,2020,False
AOI-0001,2020-09-22,0.23191128,0.22701921,0.00044242,-0.01082332,0.21050894,2020,False
AOI-0001,2020-09-29,0.29008790,0.29075783,0.04314490,0.00214532,0.25282281,2020,True
