anon_polygon_id,date,_truth,_true_src,year,base_k6,base_k8,base_k12,lag_k12_d2,lag_k16_d3,lag_k24_d2,hgb,res_hgb,res_lag,src,doy,bin,e
AOI-0002,2019-06-26,0.3226791885441528,modis,2019,0.3088674817162831,0.3102726142414971,0.3270909161957319,0.2853560660589374,0.2870449668188239,0.2968423118364678,0.3166329220372911,-0.006046266506861686,-0.035634221725328874,modis,177,22,-0.012406574302655682
AOI-0002,2019-07-29,0.234648495218802,landsat,2019,0.2565998926020925,0.2503901754270878,0.243041130029466,0.2415051153412141,0.2383883119613194,0.2315516685282292,0.223198398503725,-0.01145009671507699,0.0037398167425174156,landsat,210,26,0.015741680208285813
AOI-0002,2019-08-13,0.3215358472553701,modis,2019,0.2906924635820205,0.2916683248604291,0.2879522375251284,0.2866506715552275,0.2919353758186296,0.2891005282058248,0.3451430474742,0.023607200218829894,-0.029600471436740494,modis,225,28,-0.029867522394941004
AOI-0003,2019-04-01,0.7465997423623716,s2,2019,0.6656694292980748,0.6698336110002484,0.6997571467950632,0.6443539841646924,0.6308711978417806,0.6910566511088188,0.7209888204385471,-0.025610921923824526,-0.115728544520591,s2,91,11,-0.07676613136212318
AOI-0003,2019-05-06,0.912608548188256,s2,2019,0.8009833728717092,0.8057713520956881,0.8139631732790044,0.7918769484378554,0.7869695595780036,0.8100307426249261,0.8194182915706759,-0.09319025661758007,-0.12563898861025236,s2,126,15,-0.10683719609256792
AOI-0003,2019-06-04,0.8633667030456484,landsat,2019,0.8433378152520713,0.8381998879859911,0.8165751581191261,0.8556609993219425,0.8577637763082078,0.8352921818692877,0.8748147084887519,0.011448005443103426,-0.005602926737440672,landsat,155,19,-0.025166815059657344
AOI-0003,2019-07-07,0.1352430982600685,s2,2019,0.2061206570244514,0.2000501036607588,0.2049207704039109,0.2089003798945311,0.2102054765043956,0.180581039934972,0.1736799115463121,0.0384368132862436,0.07496237824432711,s2,188,23,0.06480700540069029
AOI-0003,2019-08-07,0.3383295609182435,landsat,2019,0.3262109381234102,0.3293452949966174,0.3360069602695241,0.3375254849989181,0.3403585777771007,0.3309540270267815,0.3319704053541643,-0.006359155564079233,0.002029016858857202,landsat,219,27,-0.0089842659216261
AOI-0003,2019-08-14,0.3867256717278265,s2,2019,0.3843088416536898,0.3753809616703323,0.3562923926756243,0.3852729784358951,0.3805235826682866,0.3595033713746161,0.3997159845931162,0.012990312865289677,-0.006202089059539895,s2,226,28,-0.011344710057494212
AOI-0003,2019-08-22,0.4473056731221935,landsat,2019,0.3888453144710064,0.3868669388068138,0.376462188924612,0.4021410556924774,0.3936308183996513,0.3905037006603914,0.3982445883239102,-0.049061084798283305,-0.05367485472254219,landsat,234,29,-0.060438734315379716
