anon_polygon_id,date,crop_type,pred,truth,err,abs_err,source,year,gap_days,bracket_days,edge,run_len
AOI-0002,2019-06-26,озимая пшеница,0.3102726142414971,0.3226791885441528,-0.012406574302655682,0.012406574302655682,modis,2019,1.0,2.0,False,1
AOI-0002,2019-07-29,озимая пшеница,0.2503901754270878,0.234648495218802,0.015741680208285813,0.015741680208285813,landsat,2019,1.0,10.0,False,1
AOI-0002,2019-08-13,озимая пшеница,0.29166832486042915,0.3215358472553701,-0.02986752239494095,0.02986752239494095,modis,2019,1.0,5.0,False,1
AOI-0003,2019-04-01,озимая пшеница,0.6698336110002484,0.7465997423623716,-0.07676613136212318,0.07676613136212318,s2,2019,5.0,inf,True,1
AOI-0003,2019-05-06,озимая пшеница,0.8057713520956881,0.912608548188256,-0.10683719609256792,0.10683719609256792,s2,2019,2.0,6.0,False,1
AOI-0003,2019-06-04,озимая пшеница,0.8381998879859911,0.8633667030456484,-0.025166815059657344,0.025166815059657344,landsat,2019,1.0,3.0,False,1
AOI-0003,2019-07-07,озимая пшеница,0.20005010366075882,0.1352430982600685,0.06480700540069032,0.06480700540069032,s2,2019,1.0,6.0,False,1
AOI-0003,2019-08-07,озимая пшеница,0.32934529499661747,0.3383295609182435,-0.008984265921626045,0.008984265921626045,landsat,2019,1.0,3.0,False,1
AOI-0003,2019-08-14,озимая пшеница,0.37538096167033236,0.3867256717278265,-0.011344710057494156,0.011344710057494156,s2,2019,1.0,2.0,False,1
AOI-0003,2019-08-22,озимая пшеница,0.3868669388068138,0.4473056731221935,-0.060438734315379716,0.060438734315379716,landsat,2019,1.0,5.0,False,2
AOI-0003,2019-08-23,озимая пшеница,0.3842860370302235,0.1541977626863271,0.23008827434389642,0.23008827434389642,landsat,2019,2.0,5.0,False,2
AOI-0004,2019-04-23,озимая пшеница,0.5329845521166802,0.6785134925676533,-0.1455289404509731,0.1455289404509731,modis,2019,2.0,5.0,False,1
AOI-0004,2019-05-25,озимая пшеница,0.7661500842360343,0.7975428026934316,-0.03139271845739733,0.03139271845739733,modis,2019,4.0,10.0,False,1
AOI-0004,2019-06-30,озимая пшеница,0.4662270418423945,0.5339735900922244,-0.06774654824982995,0.06774654824982995,s2,2019,3.0,8.0,False,1
AOI-0004,2019-07-12,озимая пшеница,0.5056534415598213,0.5197044594079532,-0.014051017848131897,0.014051017848131897,modis,2019,6.0,14.0,False,1
AOI-0004,2019-09-14,озимая пшеница,0.3771817853877779,0.4367464108753651,-0.059564625487587175,0.059564625487587175,modis,2019,1.0,2.0,False,1
AOI-0004,2019-09-23,озимая пшеница,0.3118051276889994,0.3418787380377747,-0.030073610348775315,0.030073610348775315,s2,2019,5.0,10.0,False,1
AOI-0007,2019-04-01,озимая пшеница,0.46452140713310686,0.5099181770744069,-0.04539676994130004,0.04539676994130004,s2,2019,5.0,inf,True,1
AOI-0007,2019-06-26,озимая пшеница,0.3222761965677307,0.2826332811101164,0.039642915457614336,0.039642915457614336,modis,2019,1.0,2.0,False,1
AOI-0007,2019-07-28,озимая пшеница,0.2477435043604999,0.2948467099373322,-0.047103205576832285,0.047103205576832285,modis,2019,2.0,8.0,False,1
AOI-0007,2019-08-13,озимая пшеница,0.29973163370024836,0.3201401745747538,-0.020408540874505443,0.020408540874505443,modis,2019,2.0,4.0,False,2
AOI-0007,2019-08-14,озимая пшеница,0.24272524836973383,0.2553435416949679,-0.012618293325234092,0.012618293325234092,s2,2019,1.0,4.0,False,2
AOI-0008,2019-05-19,озимая пшеница,0.8325111120233862,0.7692984386972274,0.06321267332615887,0.06321267332615887,landsat,2019,1.0,3.0,False,1
AOI-0008,2019-07-17,озимая пшеница,0.1471299411173085,0.106757405103178,0.04037253601413052,0.04037253601413052,s2,2019,3.0,6.0,False,1
AOI-0008,2019-08-13,озимая пшеница,0.3137303550019479,0.3459212809917355,-0.03219092598978762,0.03219092598978762,modis,2019,1.0,3.0,False,1
AOI-0008,2019-09-30,озимая пшеница,0.3075520895075605,0.3700481404958678,-0.062496050988307295,0.062496050988307295,modis,2019,5.0,15.0,False,1
AOI-0008,2019-10-16,озимая пшеница,0.33989069754946616,0.3880512396694215,-0.04816054211995535,0.04816054211995535,modis,2019,3.0,7.0,False,1
AOI-0011,2019-04-07,озимая пшеница,0.385847131209892,0.3382590709728869,0.047588060237005125,0.047588060237005125,modis,2019,1.0,15.0,False,1
AOI-0011,2019-04-23,озимая пшеница,0.29289060877830486,0.253966242124564,0.03892436665374088,0.03892436665374088,s2,2019,2.0,4.0,False,1
AOI-0011,2019-04-28,озимая пшеница,0.2883953627362894,0.2786232952324141,0.009772067503875326,0.009772067503875326,s2,2019,2.0,10.0,False,1
AOI-0011,2019-07-12,озимая пшеница,0.32816487042606945,0.3138876594896333,0.014277210936436135,0.014277210936436135,modis,2019,2.0,7.0,False,1
AOI-0011,2019-08-06,озимая пшеница,0.34959006405381027,0.3170344656770985,0.03255559837671179,0.03255559837671179,s2,2019,1.0,6.0,False,1
AOI-0011,2019-08-14,озимая пшеница,0.3263369579697294,0.3801486586350469,-0.053811700665317486,0.053811700665317486,s2,2019,1.0,2.0,False,1
AOI-0011,2019-08-19,озимая пшеница,0.25038689328882946,0.2258932122279706,0.024493681060858863,0.024493681060858863,s2,2019,2.0,6.0,False,1
AOI-0011,2019-09-30,озимая пшеница,0.26704074368120045,0.3405341706539076,-0.07349342697270717,0.07349342697270717,modis,2019,2.0,7.0,False,1
AOI-0015,2019-05-27,озимая пшеница,0.6580813628506019,0.7729414204308778,-0.11486005758027584,0.11486005758027584,landsat,2019,1.0,3.0,False,1
AOI-0015,2019-06-07,озимая пшеница,0.6930739993998708,0.7532304608734582,-0.06015646147358744,0.06015646147358744,s2,2019,2.0,5.0,False,1
AOI-0015,2019-07-05,озимая пшеница,0.48129825361283685,0.4604503486015336,0.020847905011303236,0.020847905011303236,s2,2019,1.0,4.0,False,1
AOI-0015,2019-10-13,озимая пшеница,0.23458624610516576,0.2271962348417911,0.007390011263374657,0.007390011263374657,s2,2019,2.0,5.0,False,1
